epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,192.969,0.3236,0.38408,0.45692,0.82262,0.15479,0.925,0.22919,0.21838,0.15479,0.925,0.22788,0.20796,0.30394,0.80887,6.19482,0.78573,0.000802719,0.000802719,0.000802719
69,195.886,0.33011,0.44885,0.4565,0.83131,0.15299,0.94315,0.21934,0.2076,0.15299,0.94315,0.21934,0.19381,0.31414,0.83073,6.06066,0.7881,0.000799659,0.000799659,0.000799659
70,198.761,0.31899,0.41505,0.47661,0.82649,0.15103,0.84659,0.22606,0.2113,0.15103,0.84659,0.22606,0.20113,0.31991,0.71526,5.01456,0.7996,0.000796561,0.000796561,0.000796561
71,201.667,0.29761,0.3977,0.48748,0.81951,0.15265,0.87115,0.26199,0.24364,0.15265,0.87115,0.26199,0.23654,0.33546,1.01372,5.19259,0.80279,0.000793427,0.000793427,0.000793427
72,204.528,0.31516,0.43433,0.52611,0.82571,0.14776,0.96667,0.23814,0.22527,0.14776,0.96667,0.23814,0.21056,0.3154,1.65859,4.96648,0.78872,0.000790256,0.000790256,0.000790256
73,207.385,0.30393,0.36107,0.51981,0.81902,0.13733,0.71794,0.26049,0.2455,0.13733,0.71794,0.25731,0.22764,0.32016,3.00545,5.68862,0.79475,0.000787048,0.000787048,0.000787048
74,210.218,0.30017,0.38018,0.45307,0.82866,0.14907,0.81617,0.2717,0.26057,0.14907,0.81617,0.2717,0.24825,0.28983,1.55537,5.40554,0.787,0.000783805,0.000783805,0.000783805
75,213.072,0.29263,0.40259,0.4315,0.82941,0.16145,0.81042,0.25644,0.24534,0.16145,0.81042,0.25644,0.23307,0.28731,1.22921,5.52632,0.78545,0.000780526,0.000780526,0.000780526
76,215.932,0.30021,0.38489,0.45351,0.81262,0.1745,0.7375,0.27256,0.26206,0.1745,0.7375,0.27061,0.24823,0.27605,1.09165,4.49241,0.78882,0.000777211,0.000777211,0.000777211
77,218.797,0.29874,0.36975,0.46981,0.8047,0.16722,0.75286,0.25286,0.24104,0.16722,0.75286,0.25286,0.23158,0.29388,0.97069,4.06229,0.79211,0.000773862,0.000773862,0.000773862
78,221.716,0.31284,0.4065,0.50394,0.82515,0.15537,0.94038,0.22291,0.21579,0.15537,0.94038,0.22291,0.19717,0.26675,0.69237,4.09348,0.78472,0.000770478,0.000770478,0.000770478
79,224.561,0.28751,0.41793,0.43492,0.81726,0.15953,0.89167,0.22816,0.2196,0.15953,0.89167,0.22743,0.20631,0.26401,0.7489,4.75137,0.77928,0.00076706,0.00076706,0.00076706
80,227.383,0.29993,0.3563,0.43903,0.81384,0.17205,0.71458,0.22562,0.21316,0.17205,0.71458,0.22439,0.20617,0.28637,0.68996,6.40423,0.78508,0.000763609,0.000763609,0.000763609
81,230.21,0.29478,0.35864,0.485,0.81336,0.16219,0.86422,0.22193,0.21053,0.16219,0.86422,0.22193,0.20253,0.27505,0.60081,6.75429,0.78391,0.000760124,0.000760124,0.000760124
82,233.017,0.30804,0.32746,0.45666,0.82516,0.17725,0.90136,0.22713,0.21646,0.17725,0.90136,0.22713,0.20908,0.29494,0.51704,5.34303,0.79169,0.000756606,0.000756606,0.000756606
83,235.867,0.29478,0.35568,0.47635,0.8163,0.17014,0.93406,0.21192,0.19871,0.17014,0.93406,0.20891,0.19018,0.29051,0.5765,5.2724,0.78992,0.000753055,0.000753055,0.000753055
84,238.681,0.29853,0.37462,0.48573,0.8214,0.18774,0.80134,0.24052,0.22388,0.18774,0.80134,0.24052,0.21732,0.28985,0.58611,5.44597,0.78124,0.000749472,0.000749472,0.000749472
85,241.551,0.29232,0.36673,0.43998,0.82536,0.17833,0.84665,0.25347,0.24167,0.17833,0.84665,0.25347,0.23532,0.27973,0.53181,5.82891,0.77976,0.000745857,0.000745857,0.000745857
86,244.396,0.29113,0.4017,0.45745,0.81575,0.20135,0.59198,0.2464,0.23327,0.20135,0.59198,0.2464,0.2315,0.287,0.50537,5.24891,0.78218,0.000742211,0.000742211,0.000742211
87,247.239,0.30235,0.39398,0.42991,0.81035,0.2001,0.54049,0.25567,0.24367,0.2001,0.54049,0.25567,0.23758,0.29007,0.52597,4.32125,0.7811,0.000738534,0.000738534,0.000738534
88,250.058,0.2938,0.37523,0.54272,0.81553,0.16488,0.84118,0.23728,0.22783,0.16488,0.84118,0.23728,0.21546,0.30062,0.58228,3.22526,0.78487,0.000734826,0.000734826,0.000734826
89,252.921,0.28471,0.34955,0.48575,0.81095,0.15962,0.86612,0.23933,0.23262,0.15962,0.86612,0.23933,0.21746,0.29468,0.59452,4.07794,0.79034,0.000731087,0.000731087,0.000731087
90,255.851,0.28838,0.38857,0.4353,0.81234,0.17045,0.79167,0.22256,0.21314,0.17045,0.79167,0.22256,0.19929,0.26469,0.63927,6.31242,0.7823,0.000727319,0.000727319,0.000727319
91,258.827,0.28334,0.37159,0.45707,0.81514,0.17386,0.78749,0.21967,0.20945,0.17386,0.78749,0.21967,0.19831,0.269,0.6673,7.29657,0.7809,0.000723522,0.000723522,0.000723522
92,261.665,0.29452,0.34863,0.43772,0.81319,0.18006,0.80021,0.22559,0.21587,0.18006,0.80021,0.22559,0.20383,0.27097,0.68264,5.97254,0.77961,0.000719695,0.000719695,0.000719695
93,264.528,0.28316,0.37104,0.43621,0.81672,0.17945,0.81875,0.23296,0.22027,0.17945,0.81875,0.23296,0.21141,0.27145,0.68424,5.89647,0.77931,0.00071584,0.00071584,0.00071584
94,267.357,0.28317,0.39602,0.43233,0.82319,0.20397,0.72518,0.24834,0.23857,0.20397,0.72518,0.24834,0.22929,0.26471,0.80074,5.38439,0.77806,0.000711957,0.000711957,0.000711957
95,270.204,0.28582,0.35283,0.41758,0.81714,0.2036,0.63542,0.23433,0.22628,0.2036,0.63542,0.23433,0.21347,0.26255,0.80029,5.57733,0.77695,0.000708046,0.000708046,0.000708046
96,273.04,0.27253,0.32384,0.43078,0.8141,0.17749,0.7665,0.21535,0.20528,0.17749,0.7665,0.21535,0.19692,0.26917,0.63549,5.80513,0.78621,0.000704108,0.000704108,0.000704108
97,275.886,0.27553,0.31436,0.44482,0.80868,0.1939,0.7501,0.22855,0.21517,0.1939,0.7501,0.22855,0.20888,0.2775,0.56511,5.3782,0.78949,0.000700143,0.000700143,0.000700143
98,278.72,0.28207,0.37397,0.46134,0.81029,0.19634,0.73319,0.23433,0.22071,0.19634,0.73319,0.23433,0.21413,0.26883,0.55504,4.11033,0.78591,0.000696151,0.000696151,0.000696151
99,281.57,0.26761,0.32604,0.43927,0.81392,0.16816,0.79072,0.24504,0.23089,0.16816,0.79072,0.24302,0.22245,0.27064,0.53387,4.54932,0.78407,0.000692134,0.000692134,0.000692134
100,284.418,0.27101,0.32902,0.43643,0.81116,0.17494,0.81774,0.22011,0.20666,0.17494,0.81774,0.22011,0.20134,0.27603,0.51659,5.2074,0.78689,0.000688091,0.000688091,0.000688091
101,287.29,0.28816,0.4134,0.44971,0.82565,0.17077,0.81671,0.21621,0.20486,0.17077,0.81671,0.21621,0.19517,0.26854,0.51109,4.65117,0.7839,0.000684022,0.000684022,0.000684022
102,290.308,0.27596,0.36042,0.42679,0.80956,0.17732,0.70417,0.23629,0.22763,0.17732,0.70417,0.23493,0.21526,0.26827,0.49988,4.80994,0.78308,0.00067993,0.00067993,0.00067993
103,293.468,0.27413,0.40738,0.45005,0.8109,0.18324,0.72806,0.22044,0.21327,0.18324,0.72806,0.21969,0.20006,0.25656,0.51029,4.66289,0.78082,0.000675812,0.000675812,0.000675812
104,296.301,0.28527,0.35161,0.38424,0.81167,0.16036,0.68176,0.20212,0.19234,0.16036,0.68176,0.20212,0.18175,0.25999,0.78472,6.17825,0.78318,0.000671672,0.000671672,0.000671672
105,299.13,0.27514,0.37294,0.46371,0.81247,0.15773,0.77152,0.20711,0.19608,0.15773,0.77152,0.20602,0.1854,0.26926,0.58983,7.23794,0.78657,0.000667507,0.000667507,0.000667507
106,301.955,0.27708,0.32388,0.39871,0.80972,0.16071,0.7875,0.2095,0.19803,0.16071,0.7875,0.20716,0.18507,0.2745,0.65987,7.05659,0.78765,0.00066332,0.00066332,0.00066332
107,304.844,0.28544,0.35557,0.4117,0.80222,0.16792,0.725,0.2147,0.20244,0.16792,0.725,0.2068,0.1864,0.28453,0.74936,7.10487,0.79081,0.000659111,0.000659111,0.000659111
108,307.688,0.28763,0.41562,0.38347,0.82101,0.18677,0.7543,0.21513,0.20215,0.18677,0.7543,0.20971,0.18853,0.28278,0.65071,7.43367,0.78618,0.000654879,0.000654879,0.000654879
109,310.586,0.2801,0.31982,0.39457,0.82385,0.17376,0.74375,0.21579,0.20254,0.17376,0.74375,0.21363,0.18671,0.26713,0.60024,6.96983,0.78263,0.000650627,0.000650627,0.000650627
110,313.458,0.27183,0.36682,0.43895,0.80215,0.15838,0.94642,0.2221,0.20974,0.15838,0.94642,0.21931,0.20007,0.27538,0.56385,4.90706,0.78547,0.000646353,0.000646353,0.000646353
111,316.342,0.25925,0.32578,0.41287,0.81484,0.19057,0.4,0.20304,0.191,0.19057,0.4,0.20061,0.18459,0.30508,0.55424,3.79949,0.7901,0.000642058,0.000642058,0.000642058
112,319.238,0.26587,0.33735,0.39503,0.8133,0.17181,0.66875,0.18233,0.17111,0.17181,0.66875,0.18233,0.16266,0.28472,0.68001,3.22996,0.79413,0.000637744,0.000637744,0.000637744
113,322.065,0.26175,0.34428,0.45565,0.81038,0.16878,0.7273,0.20868,0.19221,0.16878,0.7273,0.20868,0.18532,0.29542,0.79628,3.0651,0.80055,0.00063341,0.00063341,0.00063341
114,324.963,0.27418,0.38531,0.36571,0.81062,0.16358,0.66667,0.19561,0.18432,0.16358,0.66667,0.19561,0.17256,0.26875,0.95078,2.96905,0.78817,0.000629056,0.000629056,0.000629056
